Date Opération,Code Agence,encaissements,decaissements,Besoin
2023-04-20,00001,929242085.0,2037874488.0,-1108632403.0
2023-04-21,00001,614299261.0,341118229.0,273181032.0
2023-04-24,00001,1520770255.0,2447454902.0,-926684647.0
2023-04-25,00001,937892617.0,2012788321.0,-1074895704.0
2023-04-26,00001,1197544971.0,1798858500.0,-601313529.0
2023-04-27,00001,919185142.0,2049517922.0,-1130332780.0
2023-04-28,00001,1482408125.0,2408435396.0,-926027271.0
2023-05-02,00001,2101966660.0,2533568058.0,-431601398.0
2023-05-03,00001,1913178885.0,3674988263.0,-1761809378.0
2023-05-04,00001,832693336.0,2247058299.0,-1414364963.0
2023-05-05,00001,1293089970.0,2870871720.0,-1577781750.0
2023-05-08,00001,1539269055.0,2401770067.0,-862501012.0
2023-05-09,00001,1005358546.0,1962433877.0,-957075331.0
2023-05-10,00001,817321294.0,1618417180.0,-801095886.0
2023-05-11,00001,1770049757.0,2000166039.0,-230116282.0
2023-05-12,00001,1104846068.0,1724757766.0,-619911698.0
2023-05-15,00001,1298806398.0,2300789635.0,-1001983237.0
2023-05-16,00001,1528782020.0,1725822387.0,-197040367.0
2023-05-17,00001,1237974542.0,1766466110.0,-528491568.0
2023-05-19,00001,1436278994.0,740206650.0,696072344.0
2023-05-22,00001,855629460.0,1596087840.0,-740458380.0
2023-05-23,00001,1080630305.0,1965584025.0,-884953720.0
2023-05-24,00001,1477360923.0,1524180383.0,-46819460.0
2023-05-25,00001,1071853677.0,1544777275.0,-472923598.0
2023-05-26,00001,763826037.0,1362647855.0,-598821818.0
2023-05-29,00001,2098124596.0,2140707939.0,-42583343.0
2023-05-30,00001,1270624276.0,1844353410.0,-573729134.0
2023-05-31,00001,1020059550.0,1473451620.0,-453392070.0
2023-06-01,00001,859689441.0,1476759600.0,-617070159.0
2023-06-02,00001,1101351654.0,2748390137.0,-1647038483.0
2023-06-05,00001,2261211135.0,2064953522.0,196257613.0
2023-06-06,00001,1541809720.0,2346435471.0,-804625751.0
2023-06-07,00001,1177373940.0,1642534605.0,-465160665.0
2023-06-08,00001,1272471570.0,1972795570.0,-700324000.0
2023-06-09,00001,926621268.0,2015721023.0,-1089099755.0
2023-06-12,00001,1780612776.0,2029833691.0,-249220915.0
2023-06-13,00001,976241198.0,1727351648.0,-751110450.0
2023-06-14,00001,867103869.0,1323590636.0,-456486767.0
2023-06-15,00001,680423851.0,2566677094.0,-1886253243.0
2023-06-16,00001,1463870374.0,2137330954.0,-673460580.0
2023-06-19,00001,1556275000.0,1187690115.0,368584885.0
2023-06-20,00001,1245849670.0,1933740200.0,-687890530.0
2023-06-21,00001,634375688.0,1511152124.0,-876776436.0
2023-06-22,00001,1412009985.0,1719807035.0,-307797050.0
2023-06-23,00001,881944352.0,1629511855.0,-747567503.0
2023-06-26,00001,1891707237.0,2521028218.0,-629320981.0
2023-06-27,00001,1442012574.0,2728803375.0,-1286790801.0
2023-06-29,00001,2627251114.0,2125650261.0,501600853.0
2023-06-30,00001,1040495681.0,1498539653.0,-458043972.0
2023-07-03,00001,2408409346.0,2680836025.0,-272426679.0
2023-07-04,00001,1124324700.0,2056915460.0,-932590760.0
2023-07-05,00001,1611825557.0,1892248523.0,-280422966.0
2023-07-06,00001,990666566.0,1603114496.0,-612447930.0
2023-07-07,00001,1157016126.0,1828514238.0,-671498112.0
2023-07-10,00001,2010555863.0,3084620153.0,-1074064290.0
2023-07-11,00001,1308852920.0,2032764746.0,-723911826.0
2023-07-12,00001,1461569829.0,1784575074.0,-323005245.0
2023-07-13,00001,1022194019.0,1230222001.0,-208027982.0
2023-07-14,00001,1034647490.0,1649069539.0,-614422049.0
2023-07-17,00001,1941776779.0,2579047549.0,-637270770.0
2023-07-18,00001,1500833808.0,2501032905.0,-1000199097.0
2023-07-19,00001,1270328625.0,2016429328.0,-746100703.0
2023-07-20,00001,760903645.0,1846052233.0,-1085148588.0
2023-07-21,00001,1136213076.0,1475936872.0,-339723796.0
2023-07-24,00001,1705546682.0,2448845523.0,-743298841.0
2023-07-25,00001,1209163965.0,2204205370.0,-995041405.0
2023-07-26,00001,1398687369.0,1761577545.0,-362890176.0
2023-07-27,00001,1627123275.0,1819809759.0,-192686484.0
2023-07-28,00001,1242588870.0,1943824401.0,-701235531.0
2023-07-31,00001,2276674229.0,2520389372.0,-243715143.0
2023-08-01,00001,1294575271.0,2180334311.0,-885759040.0
2023-08-02,00001,1240012016.0,2303248709.0,-1063236693.0
2023-08-03,00001,1466957056.0,2210106253.0,-743149197.0
2023-08-04,00001,1672555825.0,2359004145.0,-686448320.0
2023-08-07,00001,1966755925.0,2230255004.0,-263499079.0
2023-08-08,00001,1418955570.0,1898678519.0,-479722949.0
2023-08-09,00001,1736592096.0,2231535147.0,-494943051.0
2023-08-10,00001,1365688036.0,2016412425.0,-650724389.0
2023-08-11,00001,1615680537.0,2163011742.0,-547331205.0
2023-08-16,00001,3581937111.0,3511507489.0,70429622.0
2023-08-17,00001,1449473475.0,2673596791.0,-1224123316.0
2023-08-18,00001,1445242211.0,2336706500.0,-891464289.0
2023-08-21,00001,2449346345.0,2217561598.0,231784747.0
2023-08-22,00001,1465449287.0,1673688285.0,-208238998.0
2023-08-23,00001,1693941594.0,2097190202.0,-403248608.0
2023-08-24,00001,1186486604.0,2074813831.0,-888327227.0
2023-08-25,00001,1167535897.0,1563525306.0,-395989409.0
2023-08-28,00001,2153149600.0,2058977829.0,94171771.0
2023-08-29,00001,1710662160.0,1914233760.0,-203571600.0
2023-08-30,00001,1397456976.0,1710619478.0,-313162502.0
2023-08-31,00001,1629144825.0,2029590138.0,-400445313.0
2023-09-01,00001,1020221121.0,1655078700.0,-634857579.0
2023-09-04,00001,2660252205.0,2057634555.0,602617650.0
2023-09-05,00001,1343550375.0,1552631000.0,-209080625.0
2023-09-06,00001,1179879957.0,1433113678.0,-253233721.0
2023-09-07,00001,2075810254.0,2084218617.0,-8408363.0
2023-09-08,00001,968910135.0,1823644160.0,-854734025.0
2023-09-11,00001,2263179660.0,2310257375.0,-47077715.0
2023-09-12,00001,1648785221.0,1987622334.0,-338837113.0
2023-09-13,00001,1587535326.0,1553469440.0,34065886.0
2023-09-14,00001,1341945881.0,1555365544.0,-213419663.0
2023-09-15,00001,1651341166.0,2038406733.0,-387065567.0
2023-09-18,00001,3087088788.0,2443144040.0,643944748.0
2023-09-19,00001,1149522100.0,1490013271.0,-340491171.0
2023-09-20,00001,1518851675.0,1306232247.0,212619428.0
2023-09-21,00001,1486427300.0,1716618447.0,-230191147.0
2023-09-22,00001,1608298171.0,1820657122.0,-212358951.0
2023-09-25,00001,2663290968.0,2395821045.0,267469923.0
2023-09-26,00001,1480372084.0,1284668080.0,195704004.0
2023-09-27,00001,1648050020.0,2063363474.0,-415313454.0
2023-09-28,00001,1278641975.0,1965924650.0,-687282675.0
2023-09-29,00001,2064729836.0,2039948551.0,24781285.0
2023-10-02,00001,3712324175.0,3805661473.0,-93337298.0
2023-10-03,00001,1478924166.0,2054118127.0,-575193961.0
